Id,Caso de Prueba,Descripción,Fecha,Área Funcional / Sub proceso,Funcionalidad / Característica,Datos / Acciones de Entrada,Resultado Esperado,Requerimientos de Ambiente de Pruebas,Procedimientos especiales requeridos,Dependencias con otros casos de Prueba,Resultado Obtenido,Estado,Última Fecha de Estado,Observaciones
ASP1,Accesibilidad y Seguridad de la Plataforma,"Verificación de inicio de sesión en diferentes navegadores (Chrome, Firefox, Safari).",25-11-2024,Accesibilidad y Seguridad,Inicio de sesión,Credenciales de usuario,Inicio de sesión exitoso en todos los navegadores,"Navegadores instalados (Chrome, Firefox, Safari)",No,Ninguna,La página de inicio de sesión carga correctamente en todos los navegadores probados.,Aprobado,25-11-2024,"Funciona correctamente en Chrome, Firefox y Safari."
ASP2,Accesibilidad y Seguridad de la Plataforma,"Inicio de sesión en dispositivos móviles (iOS, Android).",25-11-2024,Accesibilidad y Seguridad,Inicio de sesión,Credenciales de usuario,Inicio de sesión exitoso en dispositivos móviles,Dispositivos iOS y Android configurados,No,Ninguna,La página se adapta bien en dispositivos móviles y permite iniciar sesión sin problemas.,Aprobado,25-11-2024,La interfaz es responsive y no presenta errores en iOS y Android.
ASP3,Accesibilidad y Seguridad de la Plataforma,Recuperación de contraseña mediante Usuario,25-11-2024,Accesibilidad y Seguridad,Recuperación de contraseña,Dirección de Usuario válida,Correo de recuperación enviado al usuario,Acceso a servicio de Usuario,No,Ninguna,El correo de recuperación se envía correctamente y el enlace funciona.,Aprobado,25-11-2024,Enlace redirige correctamente a la página de cambio de contraseña.
ASP4,Accesibilidad y Seguridad de la Plataforma,Acceso restringido para roles específicos.,25-11-2024,Accesibilidad y Seguridad,Control de acceso,Usuario con rol específico,Acceso restringido a funcionalidades limitadas,Configuración de roles y permisos,No,Ninguna,Los usuarios sin el rol adecuado no pueden acceder a áreas restringidas.,Aprobado,25-11-2024,Funcionalidad de restricción de acceso opera según lo esperado.
ASP5,Accesibilidad y Seguridad de la Plataforma,Pruebas de permisos de visualización en usuarios con acceso limitado.,25-11-2024,Accesibilidad y Seguridad,Control de acceso,Usuario con permisos limitados,Acceso restringido a funcionalidades no autorizadas,Configuración de permisos,No,Ninguna,Los usuarios con permisos limitados solo ven el contenido permitido.,Aprobado,25-11-2024,Funcionalidad de restricción de acceso opera según lo esperado.
ASP6,Accesibilidad y Seguridad de la Plataforma,"Verificar que todas las imágenes (logo, iconos) tengan texto alternativo (alt).",25-11-2024,Accesibilidad y Seguridad,Imágenes en los formularios,"No se muestra la imagen, inspección de código",El texto alternativo debe describir la imagen.,"Navegador web, herramienta de inspección",No,Ninguna,Imágenes verificadas con texto alternativo,Aprobado,25-11-2024,"Todas las imágenes (logos, íconos) cuentan con atributos ""alt""."
ASP7,Accesibilidad y Seguridad de la Plataforma,Verificar que el contraste de colores cumpla con las normas de accesibilidad WCAG.,25-11-2024,Accesibilidad y Seguridad,Colores de texto y fondo,Evaluación manual y con herramienta de contraste,El contraste debe ser de al menos 4.5:1.,"Navegador web, extensión para contraste",No,Ninguna,Contraste de colores mejorado,Aprobado,25-11-2024,"Se ajustaron algunas áreas, pero falta revisión completa para cumplir con WCAG."
ASP8,Accesibilidad y Seguridad de la Plataforma,Verificar que el formulario pueda completarse solo con el teclado.,25-11-2024,Accesibilidad y Seguridad,Navegación con teclado,"Uso de Tab, Shift + Tab, Enter",El usuario puede navegar y completar el formulario sin usar el mouse.,Navegador web,No,Ninguna,Navegación por teclado funcional,Aprobado,25-11-2024,El formulario es totalmente accesible mediante teclado.
ASP9,Accesibilidad y Seguridad de la Plataforma,Verificar que los campos de texto soporten autocompletado según las normas HTML5.,25-11-2024,Accesibilidad y Seguridad,Campos de texto del formulario,Ingresar datos en los campos de texto,Los campos de texto muestran sugerencias de autocompletado según el navegador.,Navegador con soporte de HTML5,No,Ninguna,Autocompletado en formularios habilitado,Aprobado,25-11-2024,Algunos campos no están configurados para el autocompletado HTML5.
ASP10,Accesibilidad y Seguridad de la Plataforma,Verificar que no se permita inyección SQL en los campos de usuario y contraseña.,25-11-2024,Accesibilidad y Seguridad,Autenticación,Ingresar ' OR '1'='1 en los campos,El sistema muestra un mensaje de error sin permitir el acceso.,"Servidor web, base de datos",No,Ninguna,Protección contra inyección SQL aplicada,Aprobado,25-11-2024,No se detectaron vulnerabilidades de inyección SQL en pruebas.
